Num,Mono Heat of formation [eV/atom] ,Mono Band gap [eV] ,Energy [eV] ,Magnetic  monolayer,Number of atoms ,Number of species ,Spin axis ,Unit cell area [Å2] ,angle_with_x (degrees),z_separation,lattice_a,lattice_b,lattice_c,lattice_beta,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,Bilayer Energy (eV),Bandgap PBE,Bandgap GW
2,-0.007,0,-18.454,0,2,1,3,5.272,45,0.176294451,2.467263011,2.467263011,20.99945954,90,120,110.705614,2.55,4,24,48.0428,0.720622409,-36.75124063,0,0
3,-2.503,5.618,-12.907,0,3,2,3,20.066,0,0.182504117,5.00476323,5.00476323,24.54912831,90,120,532.5173719,2.403333333,6,180,416.466,1.298658221,-31.98613084,5.5639,8.1019
4,-1.119,3.897,-25.935,0,8,2,3,36.123,158.1985905,0.262623345,6.4504426,6.4504426,26.87656377,90,120,968.4638268,2.6225,16,472,1066.774154,1.82910307,-52.28166054,4.0093,6.3822
5,-2.239,5.53,-12.299,0,3,2,3,20.417,135,0.135670315,4.157809356,5.375396867,25.24734231,90,90,564.2749543,2.44,6,108,221.968,0.653203784,-35.10814944,5.6281,8.8671
6,-2.488,4.317,-38.772,0,8,2,3,33.897,45.22008478,0.155293488,6.263463271,6.263385554,26.42689535,89.99644442,119.7750055,899.871772,3.49,16,440,1063.902438,1.963225892,-75.33210187,4.8106,7.7982
7,-0.782,2.594,-21.571,0,8,2,3,37.259,135.0000002,0.25205938,6.556011453,6.556011453,26.96460085,90,120,1003.700256,2.6725,16,544,1237.74,2.047738468,-43.17930908,2.6768,4.8581
9,-0.513,1.597,-18.502,0,8,2,3,48.357,158.1984074,0.268248514,7.464125984,7.464097759,27.93955612,89.99956885,120.0000946,1348.049997,2.44,16,832,1982.12564,2.441598656,-36.46002533,1.7846,3.4533
10,-0.78,0.507,-39.351,0,8,2,3,27.057,63.43513916,0.257004572,5.581255447,5.581255447,27.29112359,90,120,736.2339632,2.91,16,372,809.196,1.82510131,-80.53918772,0.5846,1.8147
11,-2.003,2.067,-69.176,0,8,2,3,14.485,148.6902564,0.149119801,3.69178695,3.930484769,48.39547086,90,90,702.242561,3.12,16,264,575.7528,1.36143844,-136.9555595,1.8858,4.321
12,-0.495,1.344,-27.761,0,8,2,3,35.889,111.8014095,0.226785411,6.404807888,6.404807888,26.90591463,90,120,955.8518981,2.79,16,600,1370.47,2.380828012,-52.22694665,1.3733,3.4416
13,-1.779,2.975,-33.061,0,8,2,3,40.306,158.1985898,0.235065097,6.783284107,6.783385867,27.46990736,90.0023097,119.9997964,1094.649912,2.56,16,504,1138.671648,1.727318236,-82.42560086,3.1182,6.2381
15,-0.652,0.706,-38.9,0,8,2,3,26.432,44.99999965,0.249675537,5.530734261,5.530734261,27.2278941,90,120,721.290594,2.96,16,500,1160.796,2.672358578,-91.62853206,0.9877,1.9954
16,-0.338,1.724,-10.202,0,4,2,3,17.048,158.2664245,0.234842378,4.411730298,4.409774216,29.01548509,89.99322096,119.9241381,489.2347029,2.445,8,328,751.0888,2.549312809,-20.07014429,1.5509,3.2825
