Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
2,2.46723126,2.46723126,120,110.705614,2.55,4,24,48.0428,0.720622409,6.08723009,0,0,5.272,2.336,0,0,0
3,4.813553795,4.813553795,120,532.5173719,2.403333333,6,180,416.466,1.298658221,23.17030014,5.618,6.916,20.066,2.597,0,5.5639,8.1019
4,6.458451035,6.458451035,120,968.4638268,2.6225,16,472,1066.774154,1.82910307,41.71158977,3.897,5.067,36.123,2.848,0,4.0093,6.3822
6,6.247520223,6.247520223,119.7194951,899.871772,3.49,16,440,1063.902438,1.963225892,39.03150894,4.317,5.899,33.897,1.83,0,4.8106,7.7982
7,6.559215532,6.559215532,120,1003.700256,2.6725,16,544,1237.74,2.047738468,43.0233084,2.594,3.641,37.259,2.787,0,2.6768,4.8581
9,7.472445148,7.472445148,120,1348.049997,2.44,16,832,1982.12564,2.441598656,55.83743649,1.597,2.396,48.357,3.061,0,1.7846,3.4533
10,5.589545488,5.589545488,120,736.2339632,2.91,16,372,809.196,1.82510131,31.24301876,0.507,0.815,27.057,3.695,0,0.5846,1.8147
11,3.67291044,3.943858182,90,702.242561,3.12,16,264,575.7528,1.36143844,14.48543789,2.067,3.738,14.485,2.335,0,1.8858,4.321
12,6.43749418,6.43749418,120,955.8518981,2.79,16,600,1370.47,2.380828012,41.44133132,1.344,2.737,35.889,2.969,0,1.3733,3.4416
13,6.822110628,6.822110628,120,1094.649912,2.56,16,504,1138.671648,1.727318236,46.54119342,2.975,4.822,40.306,2.713,0,3.1182,6.2381
15,5.524601166,5.524601166,120,721.290594,2.96,16,500,1160.796,2.672358578,30.52121804,0.706,1.165,26.432,3.842,0,0.9877,1.9954
16,4.434027684,4.438232887,119.968662,489.2347029,2.445,8,328,751.0888,2.549312809,19.67924749,1.724,2.962,17.048,2.918,0,1.5509,3.2825
17,4.400284548,4.414270701,119.8952455,473.9068156,2.545,8,256,573.2848,2.008753146,19.42404716,1.569,3.05,16.839,2.633,0,1.1893,3.1835
18,3.584005212,3.584005212,120,338.9876914,2.095,8,116,236.1861544,1.156963354,12.84509336,2.085,2.881,11.124,3.869,0,2.1373,3.5025
